车牌号,方向,发车时间,计划发车时间,发车时间依据,到达时间,全程时间,班次类型,班次类型判定依据,到达置信度,到达估算方法,参与车速排名,本车首次观测,最后可靠采集站点,最后可靠预计到达时间,备注,当日车速排名,当日计入排名班次,当日平均全程时间（分钟）
沪A02126A,0,08:31,08:31,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:51,金杨路枣庄路,09:45,存在终点ETA，但运行轨迹仍需复核,,0,
沪A02126A,1,10:35,10:35,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:51,川沙客运站,11:42,存在终点ETA，但运行轨迹仍需复核,,0,
沪A02126A,0,12:20,12:20,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:51,金杨路金口路,13:26,存在终点ETA，但运行轨迹仍需复核,,0,
沪A02126A,1,13:50,13:50,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:51,,,,,0,
沪A12050A,0,07:48,07:48,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:21,平度路长岛路,09:11,存在终点ETA，但运行轨迹仍需复核,1,1,69
沪A12050A,1,09:50,09:50,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:21,川沙客运站,11:04,存在终点ETA，但运行轨迹仍需复核,1,1,69
沪A12050A,0,11:55,11:55,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:21,金杨路枣庄路,13:04,存在终点ETA，但运行轨迹仍需复核,1,1,69
沪A12050A,1,13:25,13:25,SHMAAS待发计划,14:34,69,全程车,未发现可靠中途折返证据,C,末次终点ETA,是,07:21,,,末次终点ETA推算，约±15分钟,1,1,69
沪A31073D,0,07:24,07:24,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:01,金杨路枣庄路,08:56,存在终点ETA，但运行轨迹仍需复核,4,1,71
沪A31073D,1,09:22,09:22,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:01,川环南路妙境路,10:38,存在终点ETA，但运行轨迹仍需复核,4,1,71
沪A31073D,0,12:45,12:45,SHMAAS待发计划,13:56,71,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:01,,,终点近站ETA推算，约±5分钟,4,1,71
沪A31073D,1,14:15,14:15,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:01,,,,4,1,71
沪A32298D,0,06:48,06:48,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:11,金杨路金口路,08:18,存在终点ETA，但运行轨迹仍需复核,9,1,76
沪A32298D,1,08:35,08:35,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:11,川环南路妙境路,09:48,存在终点ETA，但运行轨迹仍需复核,9,1,76
沪A32298D,0,10:40,10:40,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:11,金杨路金口路,11:52,存在终点ETA，但运行轨迹仍需复核,9,1,76
沪A32298D,1,12:20,12:20,SHMAAS待发计划,13:36,76,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:11,,,终点近站ETA推算，约±5分钟,9,1,76
沪A32597D,0,07:00,07:00,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:31,金杨路金口路,08:32,存在终点ETA，但运行轨迹仍需复核,8,1,74
沪A32597D,1,08:55,08:55,SHMAAS待发计划,10:09,74,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:31,,,多次终点ETA一致推算，约±3分钟,8,1,74
