车牌号,方向,发车时间,计划发车时间,发车时间依据,到达时间,全程时间,班次类型,班次类型判定依据,到达置信度,到达估算方法,参与车速排名,本车首次观测,最后可靠采集站点,最后可靠预计到达时间,备注,当日车速排名,当日计入排名班次,当日平均全程时间（分钟）
沪A02316D,1,08:18,08:18,SHMAAS待发计划,10:42,144,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,B,末次终点ETA,是,06:40,东靖路张杨北路,10:39,末次终点ETA推算，约±10分钟；末段轨迹已观测，班次类型与到达置信度分开判定,6,2,134.5
沪A02316D,0,11:20,11:20,SHMAAS待发计划,13:25,125,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:40,,,终点近站ETA推算，约±5分钟,6,2,134.5
沪A05218D,1,08:45,08:45,SHMAAS待发计划,10:55,130,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:40,东高路张杨北路,10:55,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,1,2,128
沪A05218D,0,11:40,11:40,SHMAAS待发计划,13:46,126,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:40,,,终点近站ETA推算，约±5分钟,1,2,128
沪A09172D,1,08:30,08:30,SHMAAS待发计划,10:55,145,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:01,,,终点近站ETA推算，约±5分钟,21,1,145
沪A11062A,0,06:36,06:36,SHMAAS待发计划,待确认,,疑似区间车,同车发车85分钟后已反向运行，早于该方向已确认全程最短126分钟的80%阈值（100.7分钟）,D,证据不足,否,06:01,迎春路长柳路,07:52,,,0,
沪A11062A,0,09:24,09:24,SHMAAS待发计划,待确认,,疑似区间车,同车发车67分钟后已反向运行，早于该方向已确认全程最短126分钟的80%阈值（100.7分钟）,D,证据不足,否,06:01,迎春路金松路,10:18,,,0,
沪A36993D,1,06:10,06:10,SHMAAS待发计划,08:44,154,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,06:01,东靖路东沟路,08:34,多次终点ETA一致推算，约±3分钟；末段轨迹已观测，班次类型与到达置信度分开判定,12,3,139.3
沪A36993D,0,08:50,08:50,SHMAAS待发计划,11:03,133,全程车,未发现可靠中途折返证据,B,末次终点ETA,是,06:01,,,末次终点ETA推算，约±10分钟,12,3,139.3
沪A36993D,0,08:52,08:52,SHMAAS待发计划,11:03,131,全程车,未发现可靠中途折返证据,B,末次终点ETA,是,06:01,,,末次终点ETA推算，约±10分钟,12,3,139.3
沪A36993D,1,14:45,14:45,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:01,,,,12,3,139.3
沪A37267D,0,06:54,06:54,SHMAAS待发计划,09:35,161,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:30,康汇路康恩路,09:33,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,19,2,142.5
沪A37267D,1,09:47,09:47,SHMAAS待发计划,11:51,124,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:30,,,终点近站ETA推算，约±2分钟,19,2,142.5
沪A37267D,1,11:53,09:50,终点确认到达+2分钟（覆盖计划时间）,待确认,,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,D,证据不足,否,06:30,东高路张杨北路,11:51,实际发车晚于原到达估计，原到达估计作废,19,2,142.5
沪A37267D,0,12:30,12:30,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:30,,,,19,2,142.5
沪A37823D,0,06:41,06:41,SHMAAS待发计划,09:24,163,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:10,康弘路康汇路,09:21,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,10,3,138.3
沪A37823D,1,09:30,09:30,SHMAAS待发计划,11:41,131,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:10,,,终点近站ETA推算，约±2分钟,10,3,138.3
沪A37823D,1,11:43,09:35,终点确认到达+2分钟（覆盖计划时间）,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:10,,,实际发车晚于原到达估计，原到达估计作废,10,3,138.3
