车牌号,发车时间,发车站,终点站,班次类型,区间/异常说明,预计到达时间,全程时间（分钟）,到达置信度,到达估算方法,参与车速排名,最后可靠采集站点,最后可靠预计到达时间,本车首次观测,当日车速排名,当日计入排名班次,当日平均全程时间（分钟）
沪A02316D,19:10,东高路张杨北路,康恩路康浦路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,迎春路长柳路,,16:01,,,
沪A02316D,16:30,康恩路康浦路,东高路张杨北路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,五莲路莱阳路,,16:01,,,
沪A05218D,19:30,东高路张杨北路,康恩路康浦路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,迎春路长柳路,,16:10,,,
沪A05218D,16:45,康恩路康浦路,东高路张杨北路,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,东高路张杨北路,,16:10,,,
沪A09172D,16:00,东高路张杨北路,康恩路康浦路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,康沈路秀康路,,15:31,,,
沪A09172D,18:50,康恩路康浦路,东高路张杨北路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,浦东大道东波路,,15:31,,,
沪A11062A,15:35,东高路张杨北路,康恩路康浦路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,锦绣路花木路,,14:38,,,
沪A15330A,16:08,康恩路康浦路,东高路张杨北路,运行中待确认,尚未观察到终点或反向运行证据,,,D,,否,康沈路梓康路,,15:20,,,
沪A15790A,17:30,康恩路康浦路,东高路张杨北路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,东高路张杨北路,,14:38,,,
沪A36993D,17:45,东高路张杨北路,康恩路康浦路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,康恩路康浦路,,14:38,,,
沪A36993D,14:45,康恩路康浦路,东高路张杨北路,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,东靖路东沟路,,14:38,,,
沪A37267D,17:15,康恩路康浦路,东高路张杨北路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,东高路张杨北路,,14:38,,,
沪A37823D,16:45,东高路张杨北路,康恩路康浦路,运行异常待查,发车后缺少同向轨迹,,,D,,否,,,16:10,,,
沪A37823D,19:40,康恩路康浦路,东高路张杨北路,运行异常待查,发车后缺少同向轨迹,,,D,,否,,,16:10,,,
沪A51682D,17:00,康恩路康浦路,东高路张杨北路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,东靖路莱阳路,,16:20,,,
沪A52272D,17:00,东高路张杨北路,康恩路康浦路,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,康弘路康汇路,,16:20,,,
沪A52272D,20:05,康恩路康浦路,东高路张杨北路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,东靖路东沟路,,16:20,,,
沪A57051D,15:25,东高路张杨北路,康恩路康浦路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,康恩路康浦路,,14:38,,,
沪A62217D,15:00,东高路张杨北路,康恩路康浦路,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,康恩路康丽路,,14:38,,,
沪A62217D,17:45,康恩路康浦路,东高路张杨北路,运行中待确认,尚未观察到终点或反向运行证据,,,D,,否,迎春路芳甸路,,14:38,,,
沪A62880D,18:00,东高路张杨北路,康恩路康浦路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,康汇路康恩路,,14:38,,,
沪A62880D,15:10,康恩路康浦路,东高路张杨北路,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,浦东大道东波路,,14:38,,,
沪A65668D,19:00,东高路张杨北路,康恩路康浦路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,康汇路康恩路,,14:38,,,
沪A65668D,15:35,康恩路康浦路,东高路张杨北路,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,东靖路东沟路,,14:38,,,
沪A65786D,18:20,东高路张杨北路,康恩路康浦路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,沪南路芳华路,,17:50,,,
沪A65786D,20:55,康恩路康浦路,东高路张杨北路,运行中待确认,尚未观察到终点或反向运行证据,,,D,,否,浦建路杜鹃路,,17:50,,,
沪A67057D,17:30,东高路张杨北路,康恩路康浦路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,康沈路秀康路,,17:01,,,
沪A67057D,20:30,康恩路康浦路,东高路张杨北路,运行中待确认,尚未观察到终点或反向运行证据,,,D,,否,金杨路金桥路,,17:01,,,
沪A67672D,16:30,东高路张杨北路,康恩路康浦路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,康沈路秀沿路,,15:50,,,
沪A67672D,19:15,康恩路康浦路,东高路张杨北路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,东靖路张杨北路,,15:50,,,
沪A67712D,17:45,康恩路康浦路,东高路张杨北路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,东高路张杨北路,,14:38,,,
沪A68261D,16:15,东高路张杨北路,康恩路康浦路,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,康弘路康汇路,,14:38,,,
沪A68261D,19:30,康恩路康浦路,东高路张杨北路,运行中待确认,尚未观察到终点或反向运行证据,,,D,,否,白桦路明月路,,14:38,,,
沪A68375D,18:00,康恩路康浦路,东高路张杨北路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,东靖路莱阳路,,14:38,,,
沪A68895D,15:45,东高路张杨北路,康恩路康浦路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,周东路川周公路,,15:10,,,
沪A68895D,18:25,康恩路康浦路,东高路张杨北路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,东靖路张杨北路,,15:10,,,
沪A70597D,20:00,东高路张杨北路,康恩路康浦路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,康丽路康弘路,,14:38,,,
沪A71572D,19:40,东高路张杨北路,康恩路康浦路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,康弘路康丽路,,15:40,,,
沪A71572D,16:15,康恩路康浦路,东高路张杨北路,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,东高路张杨北路,,15:40,,,
沪A90275D,19:20,东高路张杨北路,康恩路康浦路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,康恩路康丽路,,14:50,,,
沪A90275D,16:00,康恩路康浦路,东高路张杨北路,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,东高路张杨北路,,14:50,,,
