线路,车牌号,发车时间,发车站,终点站,班次类型,区间/异常说明,预计到达时间,全程时间（分钟）,到达置信度,到达估算方法,参与车速排名,最后可靠采集站点,最后可靠预计到达时间,本车首次观测,当日车速排名
182路,沪A02126A,08:10,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:23,72.8,A,终点近站ETA确认,是,金杨路枣庄路,09:23,06:01,1
182路,沪A02126A,12:34,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,13:43,68.5,A,终点近站ETA确认,是,金杨路金桥路,13:43,06:01,1
182路,沪A02126A,16:10,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,17:20,69.9,A,终点ETA多样本共识,是,长岛路台儿庄路,17:21,06:01,1
182路,沪A02126A,06:35,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,07:39,64.4,B,终点ETA多样本共识,是,川环南路妙境路,07:44,06:01,1
182路,沪A02126A,09:35,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:47,71.8,A,终点ETA多样本共识,是,川沙路南桥路,10:47,06:01,1
182路,沪A02126A,13:59,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,15:10,70.7,A,终点近站ETA确认,是,川环南路妙境路,15:10,06:01,1
182路,沪A02126A,17:35,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,18:45,69.5,A,终点ETA多样本共识,是,川沙路南桥路,18:47,06:01,1
182路,沪A08953A,08:31,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:53,81.6,A,终点近站ETA确认,是,金杨路枣庄路,09:53,06:01,7
182路,沪A08953A,16:25,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,17:36,71.0,B,终点ETA多样本共识,是,金杨路金业路,17:36,06:01,7
182路,沪A08953A,19:30,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,20:44,73.7,B,终点ETA多样本共识,是,金杨路金业路,20:46,06:01,7
182路,沪A08953A,06:55,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:04,69.2,B,终点ETA多样本共识,是,新川路川沙路,08:07,06:01,7
182路,沪A08953A,09:55,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:08,72.8,A,终点ETA多样本共识,是,新德西路德川路,11:13,06:01,7
182路,沪A08953A,17:50,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:12,81.9,A,终点ETA多样本共识,是,新川路妙境路,19:12,06:01,7
182路,沪A08953A,20:55,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,22:06,70.8,B,终点ETA多样本共识,是,华夏三路城丰路,22:08,06:01,7
182路,沪A13735A,07:20,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:31,70.6,A,终点ETA多样本共识,是,长岛路台儿庄路,08:31,06:41,6
182路,沪A13735A,10:42,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:53,70.7,A,终点近站ETA确认,是,金杨路枣庄路,11:53,06:41,6
182路,沪A13735A,15:15,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,16:23,67.6,B,终点ETA多样本共识,是,金杨路金桥路,16:24,06:41,6
182路,沪A13735A,18:40,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:49,68.6,A,终点ETA多样本共识,是,长岛路台儿庄路,19:50,06:41,6
182路,沪A13735A,08:45,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:06,80.8,B,终点ETA多样本共识,是,川沙路南桥路,10:07,06:41,6
182路,沪A13735A,12:07,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,13:21,73.6,B,终点ETA多样本共识,是,新川路华东路,13:24,06:41,6
182路,沪A13735A,16:40,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,18:02,81.6,B,终点ETA多样本共识,是,新川路华城路,18:05,06:41,6
182路,沪A13735A,20:05,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,21:21,75.8,B,终点ETA多样本共识,是,新川路妙境路,21:21,06:41,6
182路,沪A31073D,06:35,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,07:43,67.8,A,终点近站ETA确认,是,金杨路枣庄路,07:43,06:01,3
182路,沪A31073D,09:46,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:56,69.5,B,终点ETA多样本共识,是,平度路长岛路,10:58,06:01,3
182路,沪A31073D,17:50,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:06,75.6,A,终点ETA多样本共识,是,金杨路金业路,19:06,06:01,3
182路,沪A31073D,08:00,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:13,72.6,B,终点ETA多样本共识,是,川沙路南桥路,09:18,06:01,3
182路,沪A31073D,11:11,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,12:27,76.2,B,终点ETA多样本共识,是,新川路川沙路,12:30,06:01,3
182路,沪A31073D,19:15,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,20:25,69.5,B,终点ETA多样本共识,是,川沙路南桥路,20:26,06:01,3
182路,沪A35717D,08:50,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:02,71.6,B,终点ETA多样本共识,是,博兴路东陆路,10:02,06:01,11
182路,沪A35717D,13:30,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,14:44,73.8,A,终点ETA多样本共识,是,金杨路金业路,14:46,06:01,11
182路,沪A35717D,17:00,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,18:16,76.2,A,终点ETA多样本共识,是,长岛路台儿庄路,18:20,06:01,11
182路,沪A35717D,07:15,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:24,68.9,B,终点ETA多样本共识,是,新川路川沙路,08:31,06:01,11
182路,沪A35717D,10:15,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:36,80.7,B,终点ETA多样本共识,是,新川路川沙路,11:41,06:01,11
182路,沪A35717D,14:55,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,16:11,76.1,B,终点ETA多样本共识,是,新川路妙境路,16:12,06:01,11
182路,沪A35717D,18:25,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:46,80.8,A,终点ETA多样本共识,是,川沙路南桥路,19:46,06:01,11
182路,沪A55712D,06:20,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,07:29,68.6,A,终点ETA多样本共识,是,平度路长岛路,07:29,06:01,4
182路,沪A55712D,09:18,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:33,74.8,A,终点近站ETA确认,是,金杨路枣庄路,10:33,06:01,4
182路,沪A55712D,13:58,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,15:05,66.8,B,终点ETA多样本共识,是,金杨路金业路,15:07,06:01,4
182路,沪A55712D,17:25,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,18:41,75.5,B,终点ETA多样本共识,是,荷泽路长岛路,18:42,06:01,4
182路,沪A55712D,07:45,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:55,69.6,A,终点ETA多样本共识,是,川沙路南桥路,08:58,06:01,4
182路,沪A55712D,10:43,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:52,68.8,A,终点ETA多样本共识,是,华夏三路城丰路,11:58,06:01,4
182路,沪A55712D,15:23,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,16:40,77.2,B,终点ETA多样本共识,是,川环南路川沙路,16:44,06:01,4
182路,沪A55712D,18:50,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,20:09,79.4,B,终点ETA多样本共识,是,新川路川沙路,20:11,06:01,4
182路,沪A67026D,07:05,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:16,70.7,A,终点ETA多样本共识,是,金杨路金桥路,08:14,06:01,9
182路,沪A67026D,11:38,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,12:46,68.1,B,终点ETA多样本共识,是,平度路长岛路,12:47,06:01,9
182路,沪A67026D,14:52,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,16:03,70.9,A,终点近站ETA确认,是,金杨路枣庄路,16:03,06:01,9
182路,沪A67026D,08:31,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:53,81.6,A,终点近站ETA确认,是,川环南路妙境路,09:53,06:01,9
182路,沪A67026D,13:03,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,14:20,76.5,B,终点ETA多样本共识,是,新川路妙境路,14:22,06:01,9
182路,沪A67026D,16:18,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,17:43,84.6,A,终点近站ETA确认,是,川环南路妙境路,17:43,06:01,9
182路,沪A67353D,07:50,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:04,73.9,A,终点ETA多样本共识,是,金杨路金桥路,09:04,07:11,10
182路,沪A67353D,11:10,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,12:23,72.6,A,终点ETA多样本共识,是,金杨路金桥路,12:24,07:11,10
182路,沪A67353D,15:55,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,17:03,67.9,A,终点近站ETA确认,是,金杨路枣庄路,17:03,07:11,10
182路,沪A67353D,19:05,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,20:14,68.8,A,终点ETA多样本共识,是,金杨路金业路,20:17,07:11,10
182路,沪A67353D,09:15,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:33,77.6,B,终点ETA多样本共识,是,川环南路川沙路,10:34,07:11,10
182路,沪A67353D,12:35,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,13:56,80.6,A,终点ETA多样本共识,是,川沙路南桥路,13:57,07:11,10
182路,沪A67353D,17:20,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,18:43,82.8,B,终点ETA多样本共识,是,川沙路南桥路,18:47,07:11,10
182路,沪A67353D,20:30,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,21:49,79.2,B,终点ETA多样本共识,是,新川路川沙路,21:51,07:11,10
182路,沪A67983D,06:50,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,07:55,64.6,A,终点ETA多样本共识,是,平度路长岛路,07:59,06:11,8
182路,沪A67983D,10:14,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:27,72.9,A,终点ETA多样本共识,是,长岛路台儿庄路,11:30,06:11,8
182路,沪A67983D,14:26,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,15:43,76.5,A,终点近站ETA确认,是,金杨路金桥路,15:43,06:11,8
182路,沪A67983D,18:15,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:33,78.2,A,终点ETA多样本共识,是,博兴路东陆路,19:33,06:11,8
182路,沪A67983D,08:15,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:30,74.5,B,终点ETA多样本共识,是,川环南路川沙路,09:34,06:11,8
182路,沪A67983D,11:39,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,12:55,75.6,A,终点ETA多样本共识,是,川沙路南桥路,12:57,06:11,8
182路,沪A67983D,15:51,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,17:07,75.6,B,终点ETA多样本共识,是,新川路妙境路,17:11,06:11,8
182路,沪A67983D,19:40,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,20:58,78.1,B,终点ETA多样本共识,是,新川路妙境路,21:02,06:11,8
182路,沪A68397D,06:05,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,07:13,68.0,A,终点近站ETA确认,是,金杨路枣庄路,07:13,06:01,5
182路,沪A68397D,13:02,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,14:13,70.6,B,终点ETA多样本共识,是,金杨路金业路,14:16,06:01,5
182路,沪A68397D,16:40,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,17:53,72.6,B,终点ETA多样本共识,是,金杨路金业路,17:56,06:01,5
182路,沪A68397D,19:55,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,21:08,72.5,A,终点ETA多样本共识,是,长岛路台儿庄路,21:10,06:01,5
182路,沪A68397D,07:30,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:43,73.3,B,终点ETA多样本共识,是,川沙路南桥路,08:48,06:01,5
182路,沪A68397D,14:27,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,15:43,75.5,A,终点近站ETA确认,是,川环南路妙境路,15:43,06:01,5
182路,沪A68397D,18:05,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:28,82.7,B,终点ETA多样本共识,是,川沙路南桥路,19:28,06:01,5
182路,沪A68397D,21:15,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,22:26,70.6,A,终点ETA多样本共识,是,川沙路南桥路,22:26,06:01,5
182路,沪A68870D,07:35,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:44,68.6,A,终点ETA多样本共识,是,金杨路金桥路,08:44,06:01,2
182路,沪A68870D,12:06,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,13:18,71.8,A,终点ETA多样本共识,是,荷泽路长岛路,13:21,06:01,2
182路,沪A68870D,15:35,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,16:43,67.5,A,终点近站ETA确认,是,金杨路金桥路,16:43,06:01,2
