线路,车牌号,发车时间,发车站,终点站,班次类型,区间/异常说明,预计到达时间,全程时间（分钟）,到达置信度,到达估算方法,参与车速排名,最后可靠采集站点,最后可靠预计到达时间,本车首次观测,当日车速排名
浦东35路,沪A02316D,16:01,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,18:12,130.9,B,终点ETA多样本共识,是,康丽路康弘路,18:13,06:01,4
浦东35路,沪A02316D,08:28,康恩路康浦路,东高路张杨北路,全程车,已取得接近终点的同向ETA证据；按全程运行处理,10:31,122.9,B,终点ETA多样本共识,是,东葛路东靖路,10:36,06:01,4
浦东35路,沪A02316D,18:50,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,20:50,120.0,C,终点ETA多样本共识,是,东葛路东靖路,20:55,06:01,4
浦东35路,沪A05218D,06:18,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:20,122.2,A,终点ETA多样本共识,是,康弘路康丽路,08:21,06:01,11
浦东35路,沪A05218D,16:30,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,18:35,124.9,A,终点ETA多样本共识,是,康丽路康弘路,18:37,06:01,11
浦东35路,沪A05218D,09:00,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:12,132.0,C,终点ETA多样本共识,是,东葛路东靖路,11:18,06:01,11
浦东35路,沪A05218D,19:15,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,21:22,126.9,A,终点近站ETA确认,是,东高路张杨北路,21:22,06:01,11
浦东35路,沪A09172D,11:50,东高路张杨北路,康恩路康浦路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,康丽路康弘路,14:01,07:20,16
浦东35路,沪A09172D,19:30,东高路张杨北路,康恩路康浦路,疑似区间车,同向实际位置连续推进至丁香路锦绣路附近后停止；约11分钟后在锦绣路花木路附近形成反向连续轨迹（8个采样点），空间衔接符合中途折返,,,D,,否,丁香路锦绣路,20:23,07:20,16
浦东35路,沪A09172D,08:48,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:02,134.2,A,终点近站ETA确认,是,东高路张杨北路,11:02,07:20,16
浦东35路,沪A09172D,16:45,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,18:46,121.5,B,终点ETA多样本共识,是,锦绣路花木路,18:55,07:20,16
浦东35路,沪A11062A,07:18,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:24,126.1,B,终点ETA多样本共识,是,康丽路康弘路,09:28,06:50,5
浦东35路,沪A11062A,12:55,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,14:58,123.0,B,终点ETA多样本共识,是,康丽路康弘路,15:03,06:50,5
浦东35路,沪A11062A,10:00,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,12:05,124.9,B,终点ETA多样本共识,是,东葛路东靖路,12:08,06:50,5
浦东35路,沪A11062A,17:30,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:37,126.6,C,终点ETA多样本共识,是,东葛路东靖路,19:38,06:50,5
浦东35路,沪A15330A,06:05,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:12,126.9,A,终点近站ETA确认,是,康恩路康浦路,08:12,06:01,12
浦东35路,沪A15330A,11:34,东高路张杨北路,康恩路康浦路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,康丽路康弘路,13:43,06:01,12
浦东35路,沪A15330A,08:38,康恩路康浦路,东高路张杨北路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,东波路莱阳路,10:59,06:01,12
浦东35路,沪A15330A,14:05,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,16:11,126.1,C,终点ETA多样本共识,是,东葛路东靖路,16:16,06:01,12
浦东35路,沪A15790A,07:54,东高路张杨北路,康恩路康浦路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,康丽路康弘路,10:08,07:20,9
浦东35路,沪A15790A,18:20,东高路张杨北路,康恩路康浦路,全程车,已取得接近终点的同向ETA证据；按全程运行处理,20:29,129.2,A,终点ETA多样本共识,是,康弘路康丽路,20:34,07:20,9
浦东35路,沪A15790A,11:00,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,13:09,128.5,B,终点ETA多样本共识,是,东葛路东靖路,13:15,07:20,9
浦东35路,沪A15790A,20:55,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,22:55,120.4,C,终点ETA多样本共识,是,金杨路金口路,23:02,07:20,9
浦东35路,沪A36993D,09:00,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:13,132.8,B,终点ETA多样本共识,是,康丽路康弘路,11:16,06:01,25
浦东35路,沪A36993D,14:35,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,16:52,136.9,A,终点近站ETA确认,是,康恩路康浦路,16:52,06:01,25
浦东35路,沪A36993D,06:31,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:27,115.9,B,终点ETA多样本共识,是,东葛路东靖路,08:36,06:01,25
浦东35路,沪A36993D,11:50,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,14:12,141.9,A,终点近站ETA确认,是,东高路张杨北路,14:12,06:01,25
浦东35路,沪A37267D,07:06,东高路张杨北路,康恩路康浦路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,丁香路锦绣路,08:32,06:40,22
浦东35路,沪A37267D,17:00,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:09,129.0,B,终点ETA多样本共识,是,康弘路康丽路,19:13,06:40,22
浦东35路,沪A37267D,10:15,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,12:25,129.9,C,终点ETA多样本共识,是,东葛路东靖路,12:30,06:40,22
浦东35路,沪A37267D,20:05,康恩路康浦路,东高路张杨北路,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,06:40,22
浦东35路,沪A37823D,06:54,东高路张杨北路,康恩路康浦路,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,06:20,
浦东35路,沪A37823D,12:30,东高路张杨北路,康恩路康浦路,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,06:20,
浦东35路,沪A37823D,09:45,康恩路康浦路,东高路张杨北路,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,06:20,
浦东35路,沪A37823D,17:15,康恩路康浦路,东高路张杨北路,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,06:20,
浦东35路,沪A51682D,06:42,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:47,124.9,A,终点ETA多样本共识,是,康丽路康弘路,08:49,06:10,15
浦东35路,沪A51682D,16:45,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,18:56,130.9,B,终点ETA多样本共识,是,康丽路康弘路,18:59,06:10,15
浦东35路,沪A51682D,09:30,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:44,134.0,C,终点ETA多样本共识,是,东葛路东靖路,11:47,06:10,15
浦东35路,沪A51682D,19:40,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,21:40,119.9,B,终点ETA多样本共识,是,东葛路东靖路,21:46,06:10,15
浦东35路,沪A52272D,08:06,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:11,125.0,B,终点ETA多样本共识,是,康弘路康丽路,10:16,06:40,8
浦东35路,沪A52272D,13:45,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,15:50,125.5,B,终点ETA多样本共识,是,周东路川周公路,15:53,06:40,8
浦东35路,沪A52272D,11:15,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,13:23,128.2,B,终点ETA多样本共识,是,东葛路东靖路,13:28,06:40,8
浦东35路,沪A52272D,18:00,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,20:05,125.0,C,终点ETA多样本共识,是,东葛路东靖路,20:09,06:40,8
浦东35路,沪A57051D,09:45,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,12:04,138.9,B,终点ETA多样本共识,是,康丽路康弘路,12:07,06:40,18
浦东35路,沪A57051D,19:00,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,21:07,127.2,A,终点ETA多样本共识,是,康丽路康弘路,21:11,06:40,18
浦东35路,沪A57051D,07:06,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:09,123.1,B,终点ETA多样本共识,是,东葛路东靖路,09:15,06:40,18
浦东35路,沪A57051D,15:35,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,17:40,125.0,B,终点ETA多样本共识,是,东葛路东靖路,17:50,06:40,18
浦东35路,沪A62217D,16:15,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,18:25,130.3,A,终点ETA多样本共识,是,康丽路康弘路,18:28,07:01,23
浦东35路,沪A62217D,07:24,康恩路康浦路,东高路张杨北路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,沪南路华夏西路,08:17,07:01,23
浦东35路,沪A62217D,13:05,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,15:15,129.6,B,终点ETA多样本共识,是,东葛路东靖路,15:18,07:01,23
浦东35路,沪A62217D,19:30,康恩路康浦路,东高路张杨北路,运行中待确认,尚未取得连续终点ETA或可靠折返轨迹证据,,,D,,否,锦绣路罗山路,20:46,07:01,23
浦东35路,沪A62880D,09:30,东高路张杨北路,康恩路康浦路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,周东路川周公路,11:40,06:20,1
浦东35路,沪A62880D,15:00,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,17:05,125.0,B,终点ETA多样本共识,是,康丽路康弘路,17:10,06:20,1
浦东35路,沪A62880D,06:54,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:55,121.4,B,终点ETA多样本共识,是,东葛路东靖路,09:03,06:20,1
浦东35路,沪A62880D,12:15,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,14:21,125.6,C,终点ETA多样本共识,是,东葛路东靖路,14:25,06:20,1
浦东35路,沪A65668D,10:00,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,12:12,131.9,B,终点ETA多样本共识,是,康丽路康弘路,12:19,06:50,13
浦东35路,沪A65668D,19:20,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,21:24,124.0,B,终点ETA多样本共识,是,康丽路康弘路,21:29,06:50,13
浦东35路,沪A65668D,07:18,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:17,118.5,B,终点ETA多样本共识,是,东葛路东靖路,09:25,06:50,13
浦东35路,沪A65668D,16:01,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,18:13,132.4,B,终点ETA多样本共识,是,东波路莱阳路,18:23,06:50,13
浦东35路,沪A67057D,11:16,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,13:29,132.9,A,终点ETA多样本共识,是,周东路川周公路,13:33,06:40,3
浦东35路,沪A67057D,19:10,东高路张杨北路,康恩路康浦路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,白桦路明月路,20:09,06:40,3
浦东35路,沪A67057D,08:18,康恩路康浦路,东高路张杨北路,全程车,已取得接近终点的同向ETA证据；按全程运行处理,10:24,126.4,B,终点ETA多样本共识,是,东葛路东靖路,10:36,06:40,3
浦东35路,沪A67057D,16:30,康恩路康浦路,东高路张杨北路,全程车,已取得接近终点的同向ETA证据；按全程运行处理,18:24,114.3,B,终点ETA多样本共识,是,锦绣路花木路,18:36,06:40,3
浦东35路,沪A67672D,06:30,东高路张杨北路,康恩路康浦路,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,06:01,2
浦东35路,沪A67672D,06:31,东高路张杨北路,康恩路康浦路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,康丽路康弘路,08:38,06:01,2
浦东35路,沪A67672D,12:05,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,14:05,119.9,B,终点ETA多样本共识,是,康丽路康弘路,14:11,06:01,2
浦东35路,沪A67672D,09:15,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:24,128.9,B,终点ETA多样本共识,是,东葛路东靖路,11:30,06:01,2
浦东35路,沪A67672D,17:00,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:04,123.9,B,终点ETA多样本共识,是,东波路莱阳路,19:11,06:01,2
浦东35路,沪A67712D,07:30,东高路张杨北路,康恩路康浦路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,康丽路康弘路,09:57,07:11,17
浦东35路,沪A67712D,17:30,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:40,130.1,B,终点ETA多样本共识,是,康丽路康弘路,19:48,07:11,17
浦东35路,沪A67712D,10:30,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,12:44,133.5,C,终点ETA多样本共识,是,东葛路东靖路,12:47,07:11,17
浦东35路,沪A67712D,20:30,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,22:31,121.0,B,终点ETA多样本共识,是,东波路莱阳路,22:39,07:11,17
浦东35路,沪A68261D,15:45,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,17:54,128.9,A,终点ETA多样本共识,是,康丽路康弘路,17:56,06:01,7
浦东35路,沪A68261D,08:06,康恩路康浦路,东高路张杨北路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,东波路莱阳路,10:11,06:01,7
浦东35路,沪A68261D,18:25,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,20:27,122.4,C,终点ETA多样本共识,是,东波路莱阳路,20:34,06:01,7
浦东35路,沪A68375D,15:25,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,17:36,131.4,A,终点ETA多样本共识,是,康丽路康弘路,17:40,07:11,10
浦东35路,沪A68375D,07:12,康恩路康浦路,东高路张杨北路,疑似区间车,同向实际位置连续推进至沪南路华夏西路附近后停止；约20分钟后在浦建路锦绣路附近形成反向连续轨迹（7个采样点），空间衔接符合中途折返,,,D,,否,沪南路华夏西路,08:06,07:11,10
浦东35路,沪A68375D,12:40,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,14:41,121.3,C,终点ETA多样本共识,是,东葛路东靖路,14:46,07:11,10
浦东35路,沪A68375D,18:10,康恩路康浦路,东高路张杨北路,运行中待确认,尚未取得连续终点ETA或可靠折返轨迹证据,,,D,,否,云山路碧云路,19:32,07:11,10
浦东35路,沪A68895D,07:42,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:51,128.7,B,终点ETA多样本共识,是,康弘路康丽路,09:56,06:01,6
