临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
,沪A35172D,0,港城路地铁站,06:10,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:01,112分钟,,,SHMAAS末次终点ETA推算：07:00采样，终点ETA 61分钟,,06:00,07:00,SHMAAS,,,,,06:10,计划发车,D,末次终点ETA兜底（误差可能>15分钟）,否,1,0,,—/18
,沪A56630D,0,港城路地铁站,06:25,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:17,112分钟,,,SHMAAS末次终点ETA推算：08:10采样，终点ETA 7分钟,,06:00,08:10,SHMAAS,,,,,06:25,计划发车,B,末次终点ETA兜底,是,2,1,112.0,16/18
,沪A36809D,1,锦带路迎春路（浦东新区办公中心）,06:40,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:10,90分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:30,08:10,SHMAAS,,,,,06:40,计划发车,A,终点ETA确认/一致估算,是,2,2,89.5,4/18
,沪A52736D,0,港城路地铁站,06:40,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:25,105分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:00,08:10,SHMAAS,,,,,06:40,计划发车,A,终点ETA确认/一致估算,是,2,2,94.0,6/18
,沪A35186D,0,港城路地铁站,06:50,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:38,108分钟,,,08:10采样：该车到重点站金杨路云山路 ETA 8分钟；叠加该车自身同类时段从该站到终点历史中位数20分钟，约±5分钟,5,06:20,08:10,SHMAAS,,,,,06:50,计划发车,B,同车重点站剩余时间,是,1,1,108.0,15/18
,沪A35591D,1,锦带路迎春路（浦东新区办公中心）,06:50,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:18,88分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:30,08:10,SHMAAS,,,,,06:50,计划发车,A,终点ETA确认/一致估算,是,2,2,95.0,8/18
,沪A55207D,1,锦带路迎春路（浦东新区办公中心）,07:00,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:27,87分钟,,,SHMAAS末次终点ETA推算：08:10采样，终点ETA 17分钟,,06:30,08:10,SHMAAS,,,,,07:00,计划发车,B,末次终点ETA兜底,是,2,2,100.0,11/18
,沪A59117D,0,港城路地铁站,07:00,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:53,113分钟,,,07:30采样：该车到重点站金高路万安街 ETA 12分钟；叠加该车自身同类时段从该站到终点历史中位数70分钟，约±5分钟,5,06:30,08:00,SHMAAS,,,,,07:00,计划发车,B,同车重点站剩余时间,是,1,1,113.0,17/18
,沪A35616D,0,港城路地铁站,07:10,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:51,102分钟,,,08:10采样：该车到重点站巨峰路五莲路 ETA 4分钟；叠加该车自身同类时段从该站到终点历史中位数37分钟，约±5分钟,5,06:51,08:10,SHMAAS,,,,,07:10,计划发车,B,同车重点站剩余时间,是,1,1,102.0,13/18
,沪A56123D,1,锦带路迎春路（浦东新区办公中心）,07:17,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:46,89分钟,,,08:10采样：该车到重点站杨高北路洲海路（外高桥保税区） ETA 6分钟；叠加该车自身同类时段从该站到终点历史中位数30分钟，约±9分钟,9,06:51,08:10,SHMAAS,,,,,07:17,计划发车,B,同车重点站剩余时间,是,1,1,89.0,3/18
,沪A58633D,0,港城路地铁站,07:20,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:54,94分钟,,,08:10采样：该车到重点站巨峰路五莲路 ETA 5分钟；叠加该车自身同类时段从该站到终点历史中位数39分钟，约±8分钟,8,07:00,08:10,SHMAAS,,,,,07:20,计划发车,B,同车重点站剩余时间,是,1,1,94.0,6/18
,沪A51173D,0,港城路地铁站,07:30,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:53,83分钟,,,按该车自身同方向、同类时段历史全程时间中位数83分钟估算，约±11分钟,11,06:00,08:10,SHMAAS,,,,,07:30,计划发车,C,同车历史全程时间,是,1,1,83.0,1/18
,沪A57022D,1,锦带路迎春路（浦东新区办公中心）,07:35,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:15,100分钟,,,08:10采样：该车到重点站五莲路东陆路 ETA 3分钟；叠加该车自身同类时段从该站到终点历史中位数62分钟，约±10分钟,10,06:51,08:10,SHMAAS,,,,,07:35,计划发车,B,同车重点站剩余时间,是,1,1,100.0,11/18
,沪A57902D,0,港城路地铁站,07:42,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:20,98分钟,,,08:10采样：该车到重点站航津路地铁站 ETA 3分钟；叠加该车自身同类时段从该站到终点历史中位数67分钟，约±7分钟,7,07:20,08:10,SHMAAS,,,,,07:42,计划发车,B,同车重点站剩余时间,是,1,1,98.0,10/18
,沪A55150D,1,锦带路迎春路（浦东新区办公中心）,07:53,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:29,97分钟,,,08:10采样：该车到重点站金杨路金桥路 ETA 5分钟；叠加该车自身同类时段从该站到终点历史中位数74分钟，约±11分钟,11,06:00,08:10,SHMAAS,,,,,07:53,计划发车,C,同车重点站剩余时间,是,1,1,97.0,9/18
,沪A66391D,0,港城路地铁站,07:54,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:37,104分钟,,,08:10采样：该车到重点站航津路地铁站 ETA 10分钟；叠加该车自身同类时段从该站到终点历史中位数77分钟，约±12分钟,12,06:20,08:10,SHMAAS,,,,,07:54,计划发车,C,同车重点站剩余时间,是,1,1,104.0,14/18
,沪A53629D,0,港城路地铁站,08:06,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:38,92分钟,,,08:10采样：该车到重点站同港路大同路 ETA 15分钟；叠加该车自身同类时段从该站到终点历史中位数73分钟，约±5分钟,5,07:00,08:10,SHMAAS,,,,,08:06,计划发车,B,同车重点站剩余时间,是,1,1,92.0,5/18
