线路,车牌号,首次观测,最后观测,已上线运行,出现待发
182路,沪A02126A,2026-09-16T07:21:39+08:00,2026-09-16T10:11:49+08:00,是,是
182路,沪A08953A,2026-09-16T07:51:37+08:00,2026-09-16T10:11:49+08:00,是,是
182路,沪A12050A,2026-09-16T06:21:46+08:00,2026-09-16T10:02:04+08:00,是,是
182路,沪A13735A,2026-09-16T06:41:39+08:00,2026-09-16T10:11:49+08:00,是,是
182路,沪A31073D,2026-09-16T06:02:03+08:00,2026-09-16T10:11:49+08:00,是,是
182路,沪A31963D,2026-09-16T06:02:03+08:00,2026-09-16T10:11:49+08:00,是,是
182路,沪A32298D,2026-09-16T06:02:03+08:00,2026-09-16T10:11:49+08:00,是,是
182路,沪A35717D,2026-09-16T06:02:03+08:00,2026-09-16T10:11:49+08:00,是,是
182路,沪A55712D,2026-09-16T06:02:03+08:00,2026-09-16T10:11:49+08:00,是,是
182路,沪A66513D,2026-09-16T06:02:03+08:00,2026-09-16T10:11:49+08:00,是,是
182路,沪A67026D,2026-09-16T06:02:03+08:00,2026-09-16T10:11:49+08:00,是,是
182路,沪A67353D,2026-09-16T07:11:35+08:00,2026-09-16T10:11:49+08:00,是,是
182路,沪A67983D,2026-09-16T06:11:34+08:00,2026-09-16T10:11:49+08:00,是,是
182路,沪A68397D,2026-09-16T06:02:03+08:00,2026-09-16T10:11:49+08:00,是,是
