线路,车牌号,首次观测,最后观测,已上线运行,出现待发
浦东35路,沪A02316D,2026-09-24T06:01:12+08:00,2026-09-24T06:21:05+08:00,是,否
浦东35路,沪A11062A,2026-09-24T06:01:12+08:00,2026-09-24T06:21:05+08:00,否,是
浦东35路,沪A36993D,2026-09-24T06:01:12+08:00,2026-09-24T06:21:05+08:00,否,是
浦东35路,沪A62217D,2026-09-24T06:01:12+08:00,2026-09-24T06:21:05+08:00,否,是
浦东35路,沪A62880D,2026-09-24T06:01:12+08:00,2026-09-24T06:21:05+08:00,是,否
浦东35路,沪A65668D,2026-09-24T06:01:12+08:00,2026-09-24T06:21:05+08:00,是,是
浦东35路,沪A66883D,2026-09-24T06:01:12+08:00,2026-09-24T06:21:05+08:00,否,是
浦东35路,沪A67712D,2026-09-24T06:01:12+08:00,2026-09-24T06:21:05+08:00,是,否
浦东35路,沪A68261D,2026-09-24T06:11:10+08:00,2026-09-24T06:21:05+08:00,否,是
浦东35路,沪A68375D,2026-09-24T06:01:12+08:00,2026-09-24T06:21:05+08:00,是,是
浦东35路,沪A71572D,2026-09-24T06:11:10+08:00,2026-09-24T06:21:05+08:00,否,是
浦东35路,沪A72873D,2026-09-24T06:01:12+08:00,2026-09-24T06:21:05+08:00,是,否
